time_s,rollAccelerationCommand_rps2,measuredRollRate_rps,rollAttitudeCommand_rad,measuredRollAttitude_rad
1.52,0,2.626572e-05,0,0
1.53,0,2.756899e-05,0,0
1.54,0,2.606096e-05,0,0
1.55,0,2.654603e-05,0,0
1.56,0,2.853012e-05,0,0
1.57,0,2.926322e-05,0,0
1.58,0,2.962145e-05,0,0
1.59,0,2.682774e-05,0,0
1.6,0,2.488235e-05,0,0
1.61,0,2.134408e-05,0,0
1.62,0,1.961804e-05,0,0
1.63,0,2.017759e-05,0,0
1.64,0,2.005998e-05,0,0
1.65,0,1.838015e-05,0,0
1.66,0,2.255565e-05,0,0
1.67,0,2.153532e-05,0,0
1.68,0,2.165472e-05,0,0
1.69,0,2.165793e-05,0,0
1.7,0,2.196068e-05,0,0
1.71,0,2.346498e-05,0,0
1.72,0,1.953822e-05,0,0
1.73,0,1.687798e-05,0,0
1.74,0,1.395315e-05,0,0
1.75,0,1.462049e-05,0,0
1.76,0,1.459419e-05,0,0
1.77,0,1.456108e-05,0,0
1.78,0,1.466998e-05,0,0
1.79,0,1.661045e-05,0,0
1.8,0,1.595764e-05,0,0
1.81,0,1.313015e-05,0,0
1.82,0,1.13061e-05,0,0
1.83,0,9.318822e-06,0,0
1.84,0,6.99416e-06,0,0
1.85,0,7.123262e-06,0,0
1.86,0,4.414038e-06,0,0
1.87,0,3.938174e-06,0,0
1.88,0,6.277864e-06,0,0
1.89,0,4.11393e-06,0,0
1.9,0,3.446733e-06,0,0
1.91,0,1.720056e-06,0,0
1.92,0,-2.632095e-07,0,0
1.93,0,2.183723e-06,0,0
1.94,0,1.021183e-06,0,0
1.95,0,-1.118395e-06,0,0
1.96,0,-3.136699e-06,0,0
1.97,0,-4.476394e-06,0,0
1.98,0,-4.15976e-06,0,0
1.99,0,-5.672988e-06,0,0
2,0,-3.75915e-06,0,0
2.01,0,-4.224373e-06,0,0
2.02,0,-3.725933e-06,0,0
2.03,0,-5.872209e-06,0,0
2.04,0,-6.779721e-06,0,0
2.05,0,-6.247891e-06,0,0
2.06,0,-7.717128e-06,0,0
2.07,0,-9.10674e-06,0,0
2.08,0,-9.311236e-06,0,0
2.09,0,-9.422472e-06,0,0
2.1,0,-1.170837e-05,0,0
2.11,0,-1.13939e-05,0,0
2.12,0,-9.162032e-06,0,0
2.13,0,-6.260358e-06,0,0
2.14,0,-9.139721e-06,0,0
2.15,0,-6.455649e-06,0,0
2.16,0,-3.6298e-06,0,0
2.17,0,-2.931873e-06,0,0
2.18,0,-4.411212e-06,0,0
2.19,0,-3.309014e-06,0,0
2.2,0,-3.048981e-06,0,0
2.21,0,-5.125727e-06,0,0
2.22,0,-5.803759e-06,0,0
2.23,0,-6.514724e-06,0,0
2.24,0,-5.295757e-06,0,0
2.25,0,-5.104087e-06,0,0
2.26,0,-6.704662e-06,0,0
2.27,0,-4.705224e-06,0,0
2.28,0,-2.664552e-06,0,0
2.29,0,-2.502179e-06,0,0
